screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@NigelDynamite,2,0.14285714285714285,1544,2045,0,5,0,0,0,2,6,n
@BeachyBeads1,2,0.15384615384615385,1544,2038,2,14,0,0,0,13,3,y
@ang4575,0,0.0,1544,2435,0,8,0,0,0,14,0,y
@vparr3,0,0.0,1542,1668,0,3,0,2,0,3,2,y
@_paigeolson,0,0.0,1537,882,0,8,0,0,0,5,0,y
@OhSotto,2,0.25,1536,1488,0,18,0,0,0,6,0,y
@roIlerCosta,2,0.16666666666666666,1535,454,0,0,0,0,0,2,0,y
@nurs_ed_com,0,0.0,1531,2121,0,0,0,1,0,4,6,n
@pinkinktattoo1,0,0.0,1530,2559,0,10,0,0,0,15,2,y
@nei_monaee,0,0.0,1527,1920,0,2,0,0,0,0,0,n
@PiesieAfia,2,0.18181818181818182,1526,154,0,9,0,0,0,0,13,n
@_AbbyBabyyy,2,0.16666666666666666,1514,1207,0,15,0,0,0,5,0,y
@drewwerner1690,0,0.0,1513,4050,0,6,0,3,0,16,0,y
@eatmyyythoughts,0,0.0,1512,459,0,9,0,0,0,3,9,n
@RhamRN,3,0.42857142857142855,1511,531,1,0,1,0,0,4,0,y
@dementiaboy,0,0.0,1509,929,0,5,0,0,0,8,0,y
@IQRA_Raani,5,0.45454545454545453,1490,1783,0,5,0,0,0,5,1,y
@chitownbromo,0,0.0,1476,2187,1,2,0,0,0,8,1,y
@Vanilla_SweetMe,3,0.1875,1473,1945,3,7,3,0,0,9,3,y
@NeuvooNurLon,3,0.23076923076923078,1471,1405,2,1,0,0,0,1,7,n
@AlexndrBerkeley,2,0.125,1469,1914,1,0,1,0,0,0,0,y
@quietandsassy_,0,0.0,1460,930,1,5,1,0,0,1,10,n
@ujellyxlover,0,0.0,1456,2040,0,1,0,0,0,1,1,n
@finnyLaura,1,0.09090909090909091,1451,1464,1,1,0,1,0,11,0,y
@NoBody_6000,2,0.16666666666666666,1450,2100,3,8,3,1,0,5,1,y
@EpicMurse,2,0.2,1450,1536,6,1,3,0,0,2,4,n
@GuerrillaNurse,2,0.13333333333333333,1447,2265,0,7,0,1,0,14,1,y
@lorraine_tinker,0,0.0,1429,2106,1,4,0,1,1,10,2,y
@PoutandFlutter,2,0.13333333333333333,1427,1928,1,6,0,0,0,14,0,y
@danieloliloxip,0,0.0,1413,1470,0,1,0,0,0,1,0,y
@Shannon30446397,1,0.0625,1410,1828,3,1,0,0,0,12,1,y
